Ingreso,Título,Jurisdicción,Departamento
2018/12/26,ABUSO SEXUAL,COMISARÍA 1,MONTEVIDEO
2018/12/28,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/12/14,ABUSO SEXUAL,COMISARÍA 19,MONTEVIDEO
2018/04/14,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/04/27,ABUSO SEXUAL,COMISARÍA 10,RIVERA
2018/12/21,ABUSO SEXUAL,COMISARÍA 15,DURAZNO
2018/10/31,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/12/05,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/08/23,ABUSO SEXUAL,COMISARÍA 5,COLONIA
2018/06/03,ABUSO SEXUAL,COMISARÍA 10,MONTEVIDEO
2018/07/02,ABUSO SEXUAL,COMISARÍA 10,RIVERA
2018/05/02,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/02/18,ABUSO SEXUAL,COMISARÍA 3,COLONIA
2018/11/30,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/04/16,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/11/16,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/11/27,ABUSO SEXUAL,COMISARÍA 7,ARTIGAS
2018/09/21,ABUSO SEXUAL,COMISARÍA 10,SAN JOSÉ
2018/08/22,ABUSO SEXUAL,COMISARÍA 1,RÍO NEGRO
2018/11/03,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/10/29,ABUSO SEXUAL,COMISARÍA 5,MONTEVIDEO
2018/11/29,ABUSO SEXUAL,COMISARÍA 2,SORIANO
2018/09/11,ABUSO SEXUAL,COMISARÍA 26,CANELONES
2018/12/14,ABUSO SEXUAL,COMISARÍA 27,CANELONES
2018/11/29,ABUSO SEXUAL,COMISARÍA 13,MONTEVIDEO
2018/11/27,ABUSO SEXUAL,COMISARÍA 24,MONTEVIDEO
2018/07/16,ABUSO SEXUAL,COMISARÍA 1,SAN JOSÉ
2018/12/13,ABUSO SEXUAL,COMISARÍA 1,LAVALLEJA
2018/08/07,ABUSO SEXUAL,COMISARÍA 6,PAYSANDÚ
2018/12/04,ABUSO SEXUAL,COMISARÍA 1,MALDONADO
2018/07/06,ABUSO SEXUAL,COMISARÍA 8,MONTEVIDEO
2018/10/29,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/03/02,ABUSO SEXUAL,COMISARÍA 5,ROCHA
2018/04/27,ABUSO SEXUAL,COMISARÍA 9,MONTEVIDEO
2018/05/28,ABUSO SEXUAL,COMISARÍA 3,PAYSANDÚ
2018/05/18,ABUSO SEXUAL,COMISARÍA 23,CANELONES
2018/07/19,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/10/24,ABUSO SEXUAL,COMISARÍA 10,MALDONADO
2018/06/22,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/09/18,ABUSO SEXUAL,COMISARÍA 13,MONTEVIDEO
2018/03/23,ABUSO SEXUAL,COMISARÍA 4,MONTEVIDEO
2018/12/23,ABUSO SEXUAL,COMISARÍA 22,CANELONES
2018/04/24,ABUSO SEXUAL,COMISARÍA 16,MONTEVIDEO
2018/12/20,ABUSO SEXUAL,COMISARÍA 25,CANELONES
2018/12/21,ABUSO SEXUAL,COMISARÍA 5,MONTEVIDEO
2018/08/11,ABUSO SEXUAL,COMISARÍA 14,SALTO
2018/11/27,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/02/28,ABUSO SEXUAL,COMISARÍA 1,MONTEVIDEO
2018/01/25,ABUSO SEXUAL,COMISARÍA 2,ARTIGAS
2018/01/29,ABUSO SEXUAL,COMISARÍA 1,ARTIGAS
2018/11/21,ABUSO SEXUAL,COMISARÍA 1,SORIANO
2018/03/05,ABUSO SEXUAL,COMISARÍA 22,CANELONES
2018/06/09,ABUSO SEXUAL,COMISARÍA 12,ROCHA
2018/02/13,ABUSO SEXUAL,COMISARÍA 19,CANELONES
2018/02/15,ABUSO SEXUAL,COMISARÍA 25,MONTEVIDEO
2018/02/17,ABUSO SEXUAL,COMISARÍA 4,CANELONES
2018/03/06,ABUSO SEXUAL,COMISARÍA 2,SORIANO
2018/02/16,ABUSO SEXUAL,COMISARÍA 6,CERRO LARGO
2018/02/19,ABUSO SEXUAL,COMISARÍA 7,FLORES
2018/02/18,ABUSO SEXUAL,PREFECTURA DEL PUERTO DE LA PALOMA,ROCHA
2018/10/20,ABUSO SEXUAL,COMISARÍA 1,SORIANO
2018/04/04,ABUSO SEXUAL,COMISARÍA 10,MONTEVIDEO
2018/02/20,ABUSO SEXUAL,COMISARÍA 5,COLONIA
2018/02/21,ABUSO SEXUAL,COMISARÍA 1,CERRO LARGO
2018/02/23,ABUSO SEXUAL,COMISARÍA 24,MONTEVIDEO
2018/02/23,ABUSO SEXUAL,COMISARÍA 20,CANELONES
2018/07/04,ABUSO SEXUAL,COMISARÍA 19,MONTEVIDEO
2018/02/26,ABUSO SEXUAL,COMISARÍA 7,CANELONES
2018/02/27,ABUSO SEXUAL,COMISARÍA 1,ARTIGAS
2018/11/05,ABUSO SEXUAL,COMISARÍA 1,SALTO
2018/02/28,ABUSO SEXUAL,COMISARÍA 12,PAYSANDÚ
2018/03/16,ABUSO SEXUAL,COMISARÍA 11,TACUAREMBÓ
2018/03/23,ABUSO SEXUAL,COMISARÍA 6,RÍO NEGRO
2018/03/05,ABUSO SEXUAL,COMISARÍA 1,SAN JOSÉ
2018/03/05,ABUSO SEXUAL,COMISARÍA 15,CERRO LARGO
2018/03/06,ABUSO SEXUAL,COMISARÍA 22,MONTEVIDEO
2018/03/07,ABUSO SEXUAL,COMISARÍA 1,MALDONADO
2018/03/08,ABUSO SEXUAL,COMISARÍA 5,COLONIA
2018/03/08,ABUSO SEXUAL,COMISARÍA 24,CANELONES
2018/03/16,ABUSO SEXUAL,COMISARÍA 3,CERRO LARGO
2018/05/05,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/03/14,ABUSO SEXUAL,COMISARÍA 6,MONTEVIDEO
2018/03/30,ABUSO SEXUAL,COMISARÍA 6,RÍO NEGRO
2018/06/13,ABUSO SEXUAL,COMISARÍA 3,SALTO
2018/03/16,ABUSO SEXUAL,COMISARÍA 19,MONTEVIDEO
2018/03/18,ABUSO SEXUAL,COMISARÍA 8,COLONIA
2018/03/18,ABUSO SEXUAL,COMISARÍA 5,SORIANO
2018/03/19,ABUSO SEXUAL,COMISARÍA 5,CANELONES
2018/03/19,ABUSO SEXUAL,COMISARÍA 4,COLONIA
2018/04/02,ABUSO SEXUAL,COMISARÍA 3,SORIANO
2018/04/22,ABUSO SEXUAL,COMISARÍA 22,MONTEVIDEO
2018/03/26,ABUSO SEXUAL,COMISARÍA 2,MONTEVIDEO
2018/03/22,ABUSO SEXUAL,COMISARÍA 24,MONTEVIDEO
2018/03/23,ABUSO SEXUAL,COMISARÍA 10,COLONIA
2018/03/24,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/03/27,ABUSO SEXUAL,COMISARÍA 4,CANELONES
2018/03/27,ABUSO SEXUAL,COMISARÍA 20,CANELONES
2018/03/28,ABUSO SEXUAL,COMISARÍA 3,SORIANO
2018/03/27,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/03/30,ABUSO SEXUAL,COMISARÍA 1,PAYSANDÚ
2018/03/31,ABUSO SEXUAL,PREFECTURA DEL PUERTO DE MALDONADO,MALDONADO
2018/05/09,ABUSO SEXUAL,COMISARÍA 10,RIVERA
2018/04/03,ABUSO SEXUAL,COMISARÍA 22,CANELONES
2018/04/04,ABUSO SEXUAL,COMISARÍA 1,PAYSANDÚ
2018/04/05,ABUSO SEXUAL,COMISARÍA 5,RIVERA
2018/04/05,ABUSO SEXUAL,COMISARÍA 1,MONTEVIDEO
2018/04/05,ABUSO SEXUAL,COMISARÍA 4,CANELONES
2018/04/05,ABUSO SEXUAL,COMISARÍA 2,TREINTA Y TRES
2018/04/10,ABUSO SEXUAL,COMISARÍA 8,RIVERA
2018/04/06,ABUSO SEXUAL,COMISARÍA 1,SALTO
2018/04/06,ABUSO SEXUAL,COMISARÍA 1,SALTO
2018/04/07,ABUSO SEXUAL,COMISARÍA 23,CANELONES
2018/04/16,ABUSO SEXUAL,COMISARÍA 4,LAVALLEJA
2018/04/10,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/04/09,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/04/11,ABUSO SEXUAL,COMISARÍA 5,CANELONES
2018/04/11,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/04/12,ABUSO SEXUAL,COMISARÍA 14,TACUAREMBÓ
2018/08/07,ABUSO SEXUAL,COMISARÍA 1,SALTO
2018/04/18,ABUSO SEXUAL,COMISARÍA 4,TACUAREMBÓ
2018/04/18,ABUSO SEXUAL,COMISARÍA 1,MALDONADO
2018/04/24,ABUSO SEXUAL,COMISARÍA 14,COLONIA
2018/04/20,ABUSO SEXUAL,COMISARÍA 8,PAYSANDÚ
2018/04/20,ABUSO SEXUAL,COMISARÍA 7,CANELONES
2018/04/25,ABUSO SEXUAL,COMISARÍA 18,CANELONES
2018/04/21,ABUSO SEXUAL,COMISARÍA 24,MONTEVIDEO
2018/04/21,ABUSO SEXUAL,COMISARÍA 3,CANELONES
2018/04/22,ABUSO SEXUAL,COMISARÍA 10,RIVERA
2018/04/23,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/04/24,ABUSO SEXUAL,COMISARÍA 2,ROCHA
2018/04/24,ABUSO SEXUAL,COMISARÍA 11,MONTEVIDEO
2018/04/25,ABUSO SEXUAL,COMISARÍA 1,COLONIA
2018/04/25,ABUSO SEXUAL,COMISARÍA 23,CANELONES
2018/04/25,ABUSO SEXUAL,COMISARÍA 23,CANELONES
2018/04/25,ABUSO SEXUAL,COMISARÍA 16,CANELONES
2018/04/26,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/04/28,ABUSO SEXUAL,COMISARÍA 13,MONTEVIDEO
2018/06/27,ABUSO SEXUAL,COMISARÍA 1,MALDONADO
2018/04/27,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/04/28,ABUSO SEXUAL,COMISARÍA 1,SORIANO
2018/05/07,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/07/30,ABUSO SEXUAL,COMISARÍA 8,SAN JOSÉ
2018/06/19,ABUSO SEXUAL,COMISARÍA 5,SAN JOSÉ
2018/05/02,ABUSO SEXUAL,COMISARÍA 12,MALDONADO
2018/05/02,ABUSO SEXUAL,COMISARÍA 17,CANELONES
2018/11/16,ABUSO SEXUAL,COMISARÍA 5,MONTEVIDEO
2018/07/09,ABUSO SEXUAL,COMISARÍA 1,SORIANO
2018/05/07,ABUSO SEXUAL,COMISARÍA 1,SALTO
2018/05/21,ABUSO SEXUAL,COMISARÍA 5,CANELONES
2018/05/08,ABUSO SEXUAL,COMISARÍA 1,SORIANO
2018/05/10,ABUSO SEXUAL,COMISARÍA 2,MALDONADO
2018/05/07,ABUSO SEXUAL,COMISARÍA 15,CERRO LARGO
2018/05/08,ABUSO SEXUAL,COMISARÍA 1,TACUAREMBÓ
2018/05/08,ABUSO SEXUAL,COMISARÍA 9,RIVERA
2018/05/09,ABUSO SEXUAL,COMISARÍA 11,TACUAREMBÓ
2018/05/10,ABUSO SEXUAL,COMISARÍA 5,COLONIA
2018/05/16,ABUSO SEXUAL,COMISARÍA 3,TACUAREMBÓ
2018/05/16,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/05/16,ABUSO SEXUAL,COMISARÍA 3,COLONIA
2018/05/18,ABUSO SEXUAL,COMISARÍA 1,CANELONES
2018/05/21,ABUSO SEXUAL,COMISARÍA 5,CANELONES
2018/05/26,ABUSO SEXUAL,COMISARÍA 9,RIVERA
2018/05/22,ABUSO SEXUAL,COMISARÍA 12,COLONIA
2018/05/25,ABUSO SEXUAL,COMISARÍA 8,RIVERA
2018/05/22,ABUSO SEXUAL,COMISARÍA 24,MONTEVIDEO
2018/08/24,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/05/23,ABUSO SEXUAL,COMISARÍA 1,RIVERA
2018/05/25,ABUSO SEXUAL,COMISARÍA 3,CERRO LARGO
2018/05/24,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/05/24,ABUSO SEXUAL,COMISARÍA 1,RÍO NEGRO
2018/05/25,ABUSO SEXUAL,COMISARÍA 10,SAN JOSÉ
2018/06/26,ABUSO SEXUAL,COMISARÍA 17,COLONIA
2018/05/25,ABUSO SEXUAL,COMISARÍA 2,ARTIGAS
2018/05/26,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/05/26,ABUSO SEXUAL,COMISARÍA 7,CANELONES
2018/05/28,ABUSO SEXUAL,COMISARÍA 4,CANELONES
2018/05/28,ABUSO SEXUAL,COMISARÍA 21,CANELONES
2018/06/06,ABUSO SEXUAL,COMISARÍA 20,MONTEVIDEO
2018/11/29,ABUSO SEXUAL,COMISARÍA 9,MONTEVIDEO
2018/05/29,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/05/30,ABUSO SEXUAL,COMISARÍA 20,CANELONES
2018/05/30,ABUSO SEXUAL,COMISARÍA 5,SORIANO
2018/06/05,ABUSO SEXUAL,COMISARÍA 9,RIVERA
2018/05/30,ABUSO SEXUAL,COMISARÍA 11,ROCHA
2018/05/31,ABUSO SEXUAL,COMISARÍA 24,MONTEVIDEO
2018/06/22,ABUSO SEXUAL,COMISARÍA 19,MONTEVIDEO
2018/06/03,ABUSO SEXUAL,COMISARÍA 6,FLORIDA
2018/06/03,ABUSO SEXUAL,COMISARÍA 21,CANELONES
2018/06/07,ABUSO SEXUAL,COMISARÍA 21,MONTEVIDEO
2018/06/05,ABUSO SEXUAL,COMISARÍA 5,COLONIA
2018/06/07,ABUSO SEXUAL,COMISARÍA 7,CANELONES
2018/06/08,ABUSO SEXUAL,COMISARÍA 6,ROCHA
2018/08/06,ABUSO SEXUAL,COMISARÍA 1,MONTEVIDEO
2018/06/09,ABUSO SEXUAL,COMISARÍA 4,CANELONES
2018/06/10,ABUSO SEXUAL,COMISARÍA 23,MONTEVIDEO
2018/06/13,ABUSO SEXUAL,COMISARÍA 10,MONTEVIDEO
2018/08/01,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/06/18,ABUSO SEXUAL,COMISARÍA 24,CANELONES
2018/06/13,ABUSO SEXUAL,COMISARÍA 3,CERRO LARGO
2018/06/14,ABUSO SEXUAL,COMISARÍA 4,ROCHA
2018/06/14,ABUSO SEXUAL,COMISARÍA 2,COLONIA
2018/06/14,ABUSO SEXUAL,COMISARÍA 5,CERRO LARGO
2018/07/16,ABUSO SEXUAL,COMISARÍA 5,SALTO
2018/06/20,ABUSO SEXUAL,COMISARÍA 5,SAN JOSÉ
2018/06/15,ABUSO SEXUAL,COMISARÍA 1,FLORIDA
2018/06/15,ABUSO SEXUAL,COMISARÍA 5,CANELONES
2018/06/18,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/06/21,ABUSO SEXUAL,COMISARÍA 6,TACUAREMBÓ
2018/07/11,ABUSO SEXUAL,COMISARÍA 8,SAN JOSÉ
2018/06/28,ABUSO SEXUAL,COMISARÍA 1,RIVERA
2018/06/25,ABUSO SEXUAL,COMISARÍA 1,TACUAREMBÓ
2018/06/25,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/06/27,ABUSO SEXUAL,COMISARÍA 23,MONTEVIDEO
2018/07/01,ABUSO SEXUAL,COMISARÍA 1,SORIANO
2018/06/27,ABUSO SEXUAL,COMISARÍA 14,COLONIA
2018/06/27,ABUSO SEXUAL,COMISARÍA 5,CANELONES
2018/06/28,ABUSO SEXUAL,COMISARÍA 8,SAN JOSÉ
2018/08/01,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/07/11,ABUSO SEXUAL,COMISARÍA 2,TACUAREMBÓ
2018/08/14,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/07/01,ABUSO SEXUAL,COMISARÍA 2,SORIANO
2018/07/04,ABUSO SEXUAL,COMISARÍA 6,MONTEVIDEO
2018/07/12,ABUSO SEXUAL,COMISARÍA 4,FLORIDA
2018/07/04,ABUSO SEXUAL,COMISARÍA 16,MONTEVIDEO
2018/07/04,ABUSO SEXUAL,COMISARÍA 16,MONTEVIDEO
2018/07/07,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/07/09,ABUSO SEXUAL,COMISARÍA 5,CANELONES
2018/07/09,ABUSO SEXUAL,COMISARÍA 3,SALTO
2018/07/10,ABUSO SEXUAL,COMISARÍA 1,ROCHA
2018/08/29,ABUSO SEXUAL,COMISARÍA 21,MONTEVIDEO
2018/08/13,ABUSO SEXUAL,COMISARÍA 1,RÍO NEGRO
2018/11/05,ABUSO SEXUAL,COMISARÍA 4,MONTEVIDEO
2018/07/15,ABUSO SEXUAL,COMISARÍA 9,TREINTA Y TRES
2018/07/17,ABUSO SEXUAL,COMISARÍA 24,MONTEVIDEO
2018/07/18,ABUSO SEXUAL,COMISARÍA 12,ROCHA
2018/07/17,ABUSO SEXUAL,COMISARÍA 5,SORIANO
2018/08/09,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/07/19,ABUSO SEXUAL,COMISARÍA 1,TACUAREMBÓ
2018/07/26,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/11/20,ABUSO SEXUAL,COMISARÍA 1,FLORES
2018/07/29,ABUSO SEXUAL,COMISARÍA 2,TACUAREMBÓ
2018/07/22,ABUSO SEXUAL,COMISARÍA 23,CANELONES
2018/08/30,ABUSO SEXUAL,COMISARÍA 10,RIVERA
2018/07/25,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/07/30,ABUSO SEXUAL,COMISARÍA 12,MALDONADO
2018/07/25,ABUSO SEXUAL,COMISARÍA 24,CANELONES
2018/07/25,ABUSO SEXUAL,COMISARÍA 10,TACUAREMBÓ
2018/08/27,ABUSO SEXUAL,COMISARÍA 12,ROCHA
2018/07/27,ABUSO SEXUAL,COMISARÍA 20,MONTEVIDEO
2018/07/28,ABUSO SEXUAL,COMISARÍA 1,FLORES
2018/07/28,ABUSO SEXUAL,COMISARÍA 5,PAYSANDÚ
2018/08/13,ABUSO SEXUAL,COMISARÍA 12,MONTEVIDEO
2018/08/24,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/10/10,ABUSO SEXUAL,COMISARÍA 12,MONTEVIDEO
2018/08/04,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/09/27,ABUSO SEXUAL,COMISARÍA 6,ROCHA
2018/09/07,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/08/10,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/08/02,ABUSO SEXUAL,COMISARÍA 15,CERRO LARGO
2018/10/03,ABUSO SEXUAL,COMISARÍA 7,CANELONES
2018/08/03,ABUSO SEXUAL,COMISARÍA 15,CERRO LARGO
2018/09/04,ABUSO SEXUAL,COMISARÍA 9,MONTEVIDEO
2018/08/07,ABUSO SEXUAL,COMISARÍA 13,MONTEVIDEO
2018/08/08,ABUSO SEXUAL,COMISARÍA 16,MONTEVIDEO
2018/08/08,ABUSO SEXUAL,COMISARÍA 19,MONTEVIDEO
2018/08/07,ABUSO SEXUAL,COMISARÍA 7,RIVERA
2018/12/12,ABUSO SEXUAL,COMISARÍA 9,RIVERA
2018/08/08,ABUSO SEXUAL,COMISARÍA 10,MONTEVIDEO
2018/08/09,ABUSO SEXUAL,COMISARÍA 1,TACUAREMBÓ
2018/08/27,ABUSO SEXUAL,COMISARÍA 2,TACUAREMBÓ
2018/08/11,ABUSO SEXUAL,COMISARÍA 5,SORIANO
2018/08/10,ABUSO SEXUAL,COMISARÍA 8,MONTEVIDEO
2018/08/17,ABUSO SEXUAL,COMISARÍA 6,TACUAREMBÓ
2018/11/06,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/08/13,ABUSO SEXUAL,COMISARÍA 8,SAN JOSÉ
2018/08/17,ABUSO SEXUAL,COMISARÍA 4,MONTEVIDEO
2018/08/14,ABUSO SEXUAL,COMISARÍA 2,SAN JOSÉ
2018/08/20,ABUSO SEXUAL,COMISARÍA 21,CANELONES
2018/11/20,ABUSO SEXUAL,COMISARÍA 22,CANELONES
2018/08/16,ABUSO SEXUAL,COMISARÍA 14,MONTEVIDEO
2018/08/16,ABUSO SEXUAL,COMISARÍA 25,MONTEVIDEO
2018/08/23,ABUSO SEXUAL,COMISARÍA 14,LAVALLEJA
2018/08/18,ABUSO SEXUAL,COMISARÍA 5,MONTEVIDEO
2018/08/18,ABUSO SEXUAL,COMISARÍA 6,TACUAREMBÓ
2018/08/20,ABUSO SEXUAL,COMISARÍA 8,MONTEVIDEO
2018/08/21,ABUSO SEXUAL,COMISARÍA 2,MALDONADO
2018/08/21,ABUSO SEXUAL,COMISARÍA 21,CANELONES
2018/10/23,ABUSO SEXUAL,COMISARÍA 4,FLORIDA
2018/08/23,ABUSO SEXUAL,COMISARÍA 3,SORIANO
2018/08/24,ABUSO SEXUAL,COMISARÍA 1,SALTO
2018/08/23,ABUSO SEXUAL,COMISARÍA 14,LAVALLEJA
2018/08/28,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/08/27,ABUSO SEXUAL,COMISARÍA 1,SORIANO
2018/09/05,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/08/28,ABUSO SEXUAL,COMISARÍA 21,MONTEVIDEO
2018/09/06,ABUSO SEXUAL,COMISARÍA 5,SORIANO
2018/09/20,ABUSO SEXUAL,COMISARÍA 2,MALDONADO
2018/08/29,ABUSO SEXUAL,COMISARÍA 5,COLONIA
2018/08/29,ABUSO SEXUAL,COMISARÍA 10,RIVERA
2018/08/29,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/08/31,ABUSO SEXUAL,COMISARÍA 1,ROCHA
2018/08/31,ABUSO SEXUAL,COMISARÍA 12,CANELONES
2018/08/31,ABUSO SEXUAL,COMISARÍA 1,TACUAREMBÓ
2018/10/18,ABUSO SEXUAL,COMISARÍA 6,ROCHA
2018/09/02,ABUSO SEXUAL,COMISARÍA 8,RIVERA
2018/11/04,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/09/05,ABUSO SEXUAL,COMISARÍA 1,SALTO
2018/10/04,ABUSO SEXUAL,COMISARÍA 5,SORIANO
2018/09/05,ABUSO SEXUAL,COMISARÍA 14,MONTEVIDEO
2018/09/05,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/09/05,ABUSO SEXUAL,COMISARÍA 7,ARTIGAS
2018/11/07,ABUSO SEXUAL,COMISARÍA 21,MONTEVIDEO
2018/09/07,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/09/11,ABUSO SEXUAL,COMISARÍA 7,CANELONES
2018/09/11,ABUSO SEXUAL,COMISARÍA 6,RÍO NEGRO
2018/09/11,ABUSO SEXUAL,COMISARÍA 1,RIVERA
2018/09/11,ABUSO SEXUAL,COMISARÍA 9,MONTEVIDEO
2018/09/20,ABUSO SEXUAL,COMISARÍA 3,SORIANO
2018/09/13,ABUSO SEXUAL,COMISARÍA 16,MONTEVIDEO
2018/09/13,ABUSO SEXUAL,COMISARÍA 10,SAN JOSÉ
2018/09/13,ABUSO SEXUAL,COMISARÍA 19,MONTEVIDEO
2018/09/14,ABUSO SEXUAL,COMISARÍA 3,PAYSANDÚ
2018/09/17,ABUSO SEXUAL,COMISARÍA 13,DURAZNO
2018/09/17,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/09/18,ABUSO SEXUAL,COMISARÍA 10,RIVERA
2018/09/18,ABUSO SEXUAL,COMISARÍA 7,ARTIGAS
2018/09/20,ABUSO SEXUAL,COMISARÍA 22,MONTEVIDEO
2018/09/18,ABUSO SEXUAL,COMISARÍA 1,COLONIA
2018/09/21,ABUSO SEXUAL,COMISARÍA 7,SAN JOSÉ
2018/09/26,ABUSO SEXUAL,COMISARÍA 3,MONTEVIDEO
2018/09/23,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/11/09,ABUSO SEXUAL,COMISARÍA 24,MONTEVIDEO
2018/09/21,ABUSO SEXUAL,COMISARÍA 7,CANELONES
2018/09/21,ABUSO SEXUAL,COMISARÍA 25,CANELONES
2018/09/30,ABUSO SEXUAL,COMISARÍA 19,MONTEVIDEO
2018/09/23,ABUSO SEXUAL,COMISARÍA 5,CANELONES
2018/10/01,ABUSO SEXUAL,COMISARÍA 1,RÍO NEGRO
2018/09/24,ABUSO SEXUAL,COMISARÍA 1,SORIANO
2018/09/25,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/09/25,ABUSO SEXUAL,COMISARÍA 14,MONTEVIDEO
2018/09/25,ABUSO SEXUAL,COMISARÍA 4,TACUAREMBÓ
2018/09/26,ABUSO SEXUAL,COMISARÍA 1,RIVERA
2018/10/28,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/09/28,ABUSO SEXUAL,COMISARÍA 14,MONTEVIDEO
2018/12/12,ABUSO SEXUAL,COMISARÍA 18,MONTEVIDEO
2018/09/27,ABUSO SEXUAL,COMISARÍA 1,MALDONADO
2018/09/27,ABUSO SEXUAL,COMISARÍA 14,SALTO
2018/10/01,ABUSO SEXUAL,COMISARÍA 10,MONTEVIDEO
2018/10/01,ABUSO SEXUAL,COMISARÍA 1,MALDONADO
2018/09/29,ABUSO SEXUAL,COMISARÍA 1,TACUAREMBÓ
2018/10/22,ABUSO SEXUAL,COMISARÍA 2,RÍO NEGRO
2018/10/03,ABUSO SEXUAL,COMISARÍA 10,RIVERA
2018/10/08,ABUSO SEXUAL,COMISARÍA 5,SORIANO
2018/10/03,ABUSO SEXUAL,COMISARÍA 12,ROCHA
2018/10/03,ABUSO SEXUAL,COMISARÍA 19,CANELONES
2018/10/04,ABUSO SEXUAL,COMISARÍA 12,ROCHA
2018/10/29,ABUSO SEXUAL,COMISARÍA 6,PAYSANDÚ
2018/10/04,ABUSO SEXUAL,COMISARÍA 3,ARTIGAS
2018/10/05,ABUSO SEXUAL,COMISARÍA 2,SORIANO
2018/10/09,ABUSO SEXUAL,COMISARÍA 12,ROCHA
2018/11/09,ABUSO SEXUAL,COMISARÍA 6,MONTEVIDEO
2018/10/09,ABUSO SEXUAL,COMISARÍA 21,CANELONES
2018/10/10,ABUSO SEXUAL,COMISARÍA 7,CANELONES
2018/10/10,ABUSO SEXUAL,COMISARÍA 17,MONTEVIDEO
2018/10/22,ABUSO SEXUAL,COMISARÍA 12,MONTEVIDEO
2018/11/20,ABUSO SEXUAL,COMISARÍA 10,MONTEVIDEO
2018/10/11,ABUSO SEXUAL,COMISARÍA 19,MONTEVIDEO
2018/10/12,ABUSO SEXUAL,COMISARÍA 6,MALDONADO
2018/10/14,ABUSO SEXUAL,COMISARÍA 7,CANELONES
2018/10/15,ABUSO SEXUAL,COMISARÍA 1,SORIANO
2018/11/06,ABUSO SEXUAL,COMISARÍA 1,TREINTA Y TRES
2018/10/15,ABUSO SEXUAL,COMISARÍA 10,MALDONADO
2018/10/17,ABUSO SEXUAL,COMISARÍA 10,MALDONADO
2018/10/16,ABUSO SEXUAL,COMISARÍA 19,MONTEVIDEO
2018/10/17,ABUSO SEXUAL,COMISARÍA 21,CANELONES
2018/10/18,ABUSO SEXUAL,COMISARÍA 23,MONTEVIDEO
